,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record
6,0.0030816640986132513,0.014285714285714285,0.005069708491761723,0.7,0.009333675853548143,0.13716442953020133,0.017478018852437115,50,5014
6,0.03186907838070629,0.09426751592356689,0.04763437399420663,0.7,0.10203857728567839,0.773340317967139,0.1802888925720123,50,4807
7,0.007462686567164179,0.0020833333333333333,0.0032573289902280127,0.8,0.01398718891105744,0.00992489270386266,0.011610979872558163,50,5085
7,0.0009896091044037606,0.0057306590257879654,0.0016877637130801688,0.8,0.02375467498220248,0.47040281948822316,0.045225525111703684,50,5105
7,0.017915309446254073,0.025522041763341066,0.021052631578947368,0.8,0.06523207545196942,0.2594465561553369,0.10425224008796585,50,4993
7,0.00851063829787234,0.006309148264984227,0.007246376811594202,0.8,0.051606550202414385,0.15087968722232095,0.07690774693818393,50,4828
7,0.0030816640986132513,0.014285714285714285,0.005069708491761723,0.8,0.009333675853548143,0.13716442953020133,0.017478018852437115,50,5014
7,0.015503875968992248,0.045859872611464965,0.023173479240424844,0.8,0.10203857728567839,0.773340317967139,0.1802888925720123,50,4807
8,0.0,0.0,0.0,0.9,0.01398718891105744,0.00992489270386266,0.011610979872558163,50,5085
8,0.0004948045522018803,0.0028653295128939827,0.0008438818565400844,0.9,0.02375467498220248,0.47040281948822316,0.045225525111703684,50,5105
8,0.005700325732899023,0.008120649651972157,0.0066985645933014355,0.9,0.06523207545196942,0.2594465561553369,0.10425224008796585,50,4993
8,0.0,0.0,0.0,0.9,0.051606550202414385,0.15087968722232095,0.07690774693818393,50,4828
8,0.0015408320493066256,0.007142857142857143,0.0025348542458808617,0.9,0.009333675853548143,0.13716442953020133,0.017478018852437115,50,5014
8,0.00516795865633075,0.015286624203821656,0.007724493080141615,0.9,0.10203857728567839,0.773340317967139,0.1802888925720123,50,4807
0,0.008333333333333333,0.005305039787798408,0.006482982171799027,0.1,0.0032551556813586735,0.006565399123254155,0.004352380630554523,50,5572
0,0.24187256176853056,0.6838235294117647,0.3573487031700288,0.1,0.09144276360352224,0.7272823302611773,0.16245918611133234,50,5269
0,0.16348547717842324,0.4876237623762376,0.24487259167184589,0.1,0.05838902297629681,0.4999561691869384,0.10456596621418766,50,5541
0,0.20982456140350877,0.36330498177399756,0.26601423487544484,0.1,0.0752501454088729,0.3688157160858518,0.12499693703596094,50,5176
0,0.04620123203285421,0.3125,0.08050089445438283,0.1,0.01590206707873138,0.2903057980230071,0.03015247352952655,50,5218
0,0.2496124031007752,0.3484848484848485,0.29087624209575424,0.1,0.100019104108293,0.35626448048476206,0.15618906910917038,50,6096
