,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record
4,0.2882882882882883,0.22377622377622378,0.25196850393700787,0.5,0.15104957153197748,0.2559851212852677,0.18999089547416956,150,01-02-0003
5,0.72,0.5039370078740157,0.5928975810602161,0.6,0.6052534346930541,0.5835558103349439,0.5942066147576014,150,01-02-0002
5,0.5934343434343434,0.4501915708812261,0.5119825708061002,0.6,0.3997733022420545,0.5329382743020472,0.45684968251026603,150,01-02-0001
5,0.40808823529411764,0.43873517786561267,0.4228571428571429,0.6,0.38425683591315835,0.5737039931524692,0.4602477981788326,150,01-02-0004
5,0.26126126126126126,0.20279720279720279,0.22834645669291337,0.6,0.15104957153197748,0.2559851212852677,0.18999089547416956,150,01-02-0003
6,0.7098901098901099,0.28258967629046366,0.4042553191489361,0.7,0.7068541383402627,0.3682663172549341,0.48424447513440316,175,01-02-0002
6,0.5294117647058824,0.25862068965517243,0.3474903474903475,0.7,0.37398065427888,0.3408521987674886,0.3566487683497434,175,01-02-0001
6,0.3826086956521739,0.17391304347826086,0.23913043478260868,0.7,0.4805569036641592,0.2947973651892375,0.36542497981778344,175,01-02-0004
6,0.18867924528301888,0.06993006993006994,0.10204081632653061,0.7,0.1190859759199593,0.1111550789442444,0.11498393335925827,175,01-02-0003
7,0.47692307692307695,0.18985126859142606,0.2715894868585732,0.8,0.7068541383402627,0.3682663172549341,0.48424447513440316,175,01-02-0002
7,0.3686274509803922,0.18007662835249041,0.24195624195624196,0.8,0.37398065427888,0.3408521987674886,0.3566487683497434,175,01-02-0001
7,0.20869565217391303,0.09486166007905138,0.13043478260869565,0.8,0.4805569036641592,0.2947973651892375,0.36542497981778344,175,01-02-0004
7,0.16981132075471697,0.06293706293706294,0.09183673469387756,0.8,0.1190859759199593,0.1111550789442444,0.11498393335925827,175,01-02-0003
8,0.18461538461538463,0.07349081364829396,0.1051314142678348,0.9,0.7068541383402627,0.3682663172549341,0.48424447513440316,175,01-02-0002
8,0.12352941176470589,0.0603448275862069,0.08108108108108109,0.9,0.37398065427888,0.3408521987674886,0.3566487683497434,175,01-02-0001
8,0.06086956521739131,0.02766798418972332,0.03804347826086957,0.9,0.4805569036641592,0.2947973651892375,0.36542497981778344,175,01-02-0004
8,0.018867924528301886,0.006993006993006993,0.01020408163265306,0.9,0.1190859759199593,0.1111550789442444,0.11498393335925827,175,01-02-0003
0,0.21731448763250882,0.9584415584415584,0.3542966874699952,0.1,0.12608616471221684,0.953817955291468,0.22272949160697628,125,01-02-0008
0,0.282798833819242,0.6466666666666666,0.3935091277890466,0.1,0.1497503771560104,0.6586742372417568,0.24402204904010646,125,01-02-0006
0,0.45884413309982486,0.8618421052631579,0.5988571428571428,0.1,0.27996227385749806,0.8616047439932448,0.42260650408225936,125,01-02-0007
0,0.3012987012987013,0.34017595307917886,0.3195592286501377,0.1,0.14594105566231486,0.3585101550840309,0.20743869529508394,125,01-02-0005
1,0.21613663133097763,0.9532467532467532,0.3523763802208354,0.2,0.12608616471221684,0.953817955291468,0.22272949160697628,125,01-02-0008
1,0.282798833819242,0.6466666666666666,0.3935091277890466,0.2,0.1497503771560104,0.6586742372417568,0.24402204904010646,125,01-02-0006
1,0.45475773496789257,0.8541666666666666,0.5935238095238096,0.2,0.27996227385749806,0.8616047439932448,0.42260650408225936,125,01-02-0007
1,0.3012987012987013,0.34017595307917886,0.3195592286501377,0.2,0.14594105566231486,0.3585101550840309,0.20743869529508394,125,01-02-0005
2,0.321025641025641,0.812987012987013,0.46029411764705885,0.3,0.20682257780903815,0.8454369025085655,0.33234281623945705,150,01-02-0008
2,0.22282608695652173,0.2733333333333333,0.24550898203592814,0.3,0.12193832347309154,0.2918661923655767,0.17201201443344688,150,01-02-0006
2,0.542314335060449,0.6885964912280702,0.6067632850241547,0.3,0.37255743448428175,0.7122082981499962,0.4892088464719898,150,01-02-0007
2,0.2391304347826087,0.12903225806451613,0.1676190476190476,0.3,0.10909601061116213,0.13876451885017196,0.12215462828092424,150,01-02-0005
3,0.3087179487179487,0.7818181818181819,0.44264705882352945,0.4,0.20682257780903815,0.8454369025085655,0.33234281623945705,150,01-02-0008
3,0.22282608695652173,0.2733333333333333,0.24550898203592814,0.4,0.12193832347309154,0.2918661923655767,0.17201201443344688,150,01-02-0006
3,0.5129533678756477,0.6513157894736842,0.573913043478261,0.4,0.37255743448428175,0.7122082981499962,0.4892088464719898,150,01-02-0007
3,0.2391304347826087,0.12903225806451613,0.1676190476190476,0.4,0.10909601061116213,0.13876451885017196,0.12215462828092424,150,01-02-0005
4,0.27282051282051284,0.6909090909090909,0.3911764705882353,0.5,0.20682257780903815,0.8454369025085655,0.33234281623945705,150,01-02-0008
4,0.22282608695652173,0.2733333333333333,0.24550898203592814,0.5,0.12193832347309154,0.2918661923655767,0.17201201443344688,150,01-02-0006
4,0.47668393782383417,0.6052631578947368,0.5333333333333332,0.5,0.37255743448428175,0.7122082981499962,0.4892088464719898,150,01-02-0007
4,0.23369565217391305,0.12609970674486803,0.1638095238095238,0.5,0.10909601061116213,0.13876451885017196,0.12215462828092424,150,01-02-0005
5,0.19179487179487179,0.4857142857142857,0.275,0.6,0.20682257780903815,0.8454369025085655,0.33234281623945705,150,01-02-0008
5,0.21195652173913043,0.26,0.2335329341317365,0.6,0.12193832347309154,0.2918661923655767,0.17201201443344688,150,01-02-0006
5,0.4015544041450777,0.5098684210526315,0.4492753623188405,0.6,0.37255743448428175,0.7122082981499962,0.4892088464719898,150,01-02-0007
5,0.22282608695652173,0.12023460410557185,0.15619047619047619,0.6,0.10909601061116213,0.13876451885017196,0.12215462828092424,150,01-02-0005
6,0.11076923076923077,0.2805194805194805,0.1588235294117647,0.7,0.20682257780903815,0.8454369025085655,0.33234281623945705,150,01-02-0008
6,0.18478260869565216,0.22666666666666666,0.20359281437125748,0.7,0.12193832347309154,0.2918661923655767,0.17201201443344688,150,01-02-0006
6,0.27892918825561314,0.3541666666666667,0.3120772946859904,0.7,0.37255743448428175,0.7122082981499962,0.4892088464719898,150,01-02-0007
6,0.19021739130434784,0.10263929618768329,0.13333333333333333,0.7,0.10909601061116213,0.13876451885017196,0.12215462828092424,150,01-02-0005
7,0.0979381443298969,0.14805194805194805,0.11789038262668046,0.8,0.30071150627829857,0.7017514435632652,0.4210125344986201,175,01-02-0008
7,0.08620689655172414,0.06666666666666667,0.07518796992481204,0.8,0.0747654271955518,0.10302366944862498,0.08664883058600155,175,01-02-0006
7,0.21604139715394566,0.18311403508771928,0.19821958456973293,0.8,0.4560049742518693,0.5488984416980118,0.49815816286542836,175,01-02-0007
7,0.036036036036036036,0.011730205278592375,0.01769911504424779,0.8,0.04300100912329839,0.03387190967490753,0.03789439297284053,175,01-02-0005
8,0.018900343642611683,0.02857142857142857,0.022750775594622543,0.9,0.30071150627829857,0.7017514435632652,0.4210125344986201,175,01-02-0008
8,0.02586206896551724,0.02,0.02255639097744361,0.9,0.0747654271955518,0.10302366944862498,0.08664883058600155,175,01-02-0006
8,0.047865459249676584,0.04057017543859649,0.04391691394658753,0.9,0.4560049742518693,0.5488984416980118,0.49815816286542836,175,01-02-0007
8,0.0,0.0,0.0,0.9,0.04300100912329839,0.03387190967490753,0.03789439297284053,175,01-02-0005
0,0.5200642054574639,0.8150943396226416,0.6349828515433611,0.1,0.3485041822547608,0.8215136080050635,0.4893958545799279,125,01-02-0010
0,0.48729582577132485,0.8861386138613861,0.6288056206088993,0.1,0.3413838313406758,0.8845778224231263,0.4926427596013202,125,01-02-0011
0,0.2893725992317542,0.9562764456981664,0.4442988204456095,0.1,0.1659545408191911,0.9538470657191968,0.28272017271433625,125,01-02-0012
0,0.5952380952380952,0.85995085995086,0.7035175879396984,0.1,0.40880879234780704,0.852103057340057,0.5525322359581211,125,01-02-0009
1,0.5192616372391653,0.8138364779874214,0.6340029397354239,0.2,0.3485041822547608,0.8215136080050635,0.4893958545799279,125,01-02-0010
1,0.48729582577132485,0.8861386138613861,0.6288056206088993,0.2,0.3413838313406758,0.8845778224231263,0.4926427596013202,125,01-02-0011
1,0.28425096030729835,0.9393511988716502,0.436435124508519,0.2,0.1659545408191911,0.9538470657191968,0.28272017271433625,125,01-02-0012
1,0.5935374149659864,0.8574938574938575,0.7015075376884423,0.2,0.40880879234780704,0.852103057340057,0.5525322359581211,125,01-02-0009
2,0.5104333868378812,0.8,0.6232239098481137,0.3,0.3485041822547608,0.8215136080050635,0.4893958545799279,125,01-02-0010
2,0.4827586206896552,0.8778877887788779,0.6229508196721311,0.3,0.3413838313406758,0.8845778224231263,0.4926427596013202,125,01-02-0011
