,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record
3,0.023746701846965697,0.06601466992665037,0.03492884864165589,0.4,0.05832600005028537,0.3178330684496082,0.098564320888515,-60,01-02-0001
3,0.0488013698630137,0.09421487603305785,0.06429780033840948,0.4,0.12122826348703654,0.43197774195225963,0.189325173649692,-60,01-02-0004
4,0.03351449275362319,0.05817610062893082,0.042528735632183914,0.5,0.14551486807527084,0.4337002800046028,0.21791501564933163,-65,01-02-0002
4,0.01778242677824268,0.03207547169811321,0.022880215343203236,0.5,0.12229171086482982,0.3932036969429126,0.18656054773414654,-65,01-02-0003
4,0.006134969325153374,0.014669926650366748,0.008651766402307137,0.5,0.060131478313668024,0.2822244752562065,0.09913994330460062,-65,01-02-0001
4,0.015670910871694418,0.026446280991735537,0.01968019680196802,0.5,0.1268207440498515,0.3956610674848753,0.19207570431054255,-65,01-02-0004
5,0.01037344398340249,0.015723270440251572,0.012499999999999999,0.6,0.16046629319273137,0.4183805761190595,0.2319645617967492,-70,01-02-0002
5,0.004796163069544364,0.007547169811320755,0.005865102639296188,0.6,0.1287000624541031,0.3603270372576523,0.18965865992414666,-70,01-02-0003
5,0.0,0.0,0.0,0.6,0.05927162611025151,0.23250397325587768,0.0944622415439038,-70,01-02-0001
5,0.0033975084937712344,0.0049586776859504135,0.004032258064516129,0.6,0.13475859760689482,0.36293272314386255,0.19654071814128138,-70,01-02-0004
6,0.007022471910112359,0.007861635220125786,0.00741839762611276,0.7,0.18066369671419122,0.3478117448506003,0.23780463818437872,-80,01-02-0002
6,0.0015748031496062992,0.0018867924528301887,0.0017167381974248926,0.7,0.13457536418590824,0.2870318774859251,0.1832388803022497,-80,01-02-0003
6,0.0,0.0,0.0,0.7,0.05639525053074568,0.16450649421822766,0.08399557881187565,-80,01-02-0001
6,0.0,0.0,0.0,0.7,0.1443595064841814,0.2857836254268726,0.19182258214651401,-80,01-02-0004
7,0.0,0.0,0.0,0.8,0.20059330862095406,0.291005331594492,0.23748528785716075,-90,01-02-0002
7,0.0,0.0,0.0,0.8,0.14211166454303256,0.23573775531771804,0.17732505618870734,-90,01-02-0003
7,0.0,0.0,0.0,0.8,0.0457002488852017,0.09660492135693538,0.06204790651014626,-90,01-02-0001
7,0.0,0.0,0.0,0.8,0.15338772167448894,0.21103541525820377,0.1776519559737185,-90,01-02-0004
8,0.0,0.0,0.0,0.9,0.03947649604068517,0.6178665950673162,0.07421149936400279,-20,01-02-0002
8,0.0,0.0,0.0,0.9,0.04064277743528916,0.6004553926560728,0.07613241160885585,-20,01-02-0003
8,0.0,0.0,0.0,0.9,0.021046870362160238,0.5352934728996548,0.04050129553350635,-20,01-02-0001
8,0.0,0.0,0.0,0.9,0.0476022460356664,0.5729887149617765,0.08790185967720918,-20,01-02-0004
0,0.199,0.559774964838256,0.29361859092585757,0.1,0.06749306377613311,0.38440455761676656,0.11482530597569686,-60,01-02-0008
0,0.32253521126760565,0.5264367816091954,0.4,0.1,0.11820151161586799,0.36047118829315683,0.17802661132885714,-60,01-02-0007
0,0.2731629392971246,0.4081145584725537,0.32727272727272727,0.1,0.09055055859990875,0.2747221118131605,0.13620641618929186,-60,01-02-0005
0,0.2589371980676328,0.39762611275964393,0.3136337039204213,0.1,0.0935152736002649,0.2755651325418767,0.1396419226569421,-60,01-02-0006
1,0.1575,0.4430379746835443,0.23238657322021394,0.2,0.06749306377613311,0.38440455761676656,0.11482530597569686,-60,01-02-0008
1,0.2774647887323944,0.4528735632183908,0.3441048034934498,0.2,0.11820151161586799,0.36047118829315683,0.17802661132885714,-60,01-02-0007
1,0.22523961661341854,0.33651551312649164,0.26985645933014357,0.2,0.09055055859990875,0.2747221118131605,0.13620641618929186,-60,01-02-0005
1,0.2289855072463768,0.3516320474777448,0.27735517846693974,0.2,0.0935152736002649,0.2755651325418767,0.1396419226569421,-60,01-02-0006
2,0.08419023136246787,0.18424753867791843,0.11557123952359948,0.3,0.07174420864641665,0.31821989443635684,0.11708992864421006,-70,01-02-0008
2,0.1840607210626186,0.22298850574712645,0.20166320166320165,0.3,0.13123867522971192,0.2972979537312527,0.18209407065526645,-70,01-02-0007
2,0.10891089108910891,0.10501193317422435,0.10692588092345079,0.3,0.09152373396614548,0.17867079672701855,0.12104329739918475,-70,01-02-0005
2,0.1442857142857143,0.14985163204747776,0.1470160116448326,0.3,0.10581813873488881,0.2106114815417141,0.1408623816788081,-70,01-02-0006
3,0.036153289949385395,0.07032348804500703,0.047755491881566386,0.4,0.0746419687442681,0.2945534690425264,0.11910250549999836,-75,01-02-0008
3,0.06167400881057269,0.06436781609195402,0.06299212598425197,0.4,0.13814961953746716,0.269427409071589,0.18264667262152226,-75,01-02-0007
3,0.017804154302670624,0.014319809069212411,0.015873015873015872,0.4,0.08521764065886799,0.13848494401118405,0.1055093772189967,-75,01-02-0005
3,0.04923599320882852,0.04302670623145401,0.045922406967537605,0.4,0.1128948378849958,0.18887624003903072,0.14132005390458402,-75,01-02-0006
4,0.010282776349614395,0.02250351617440225,0.0141155712395236,0.5,0.07174420864641665,0.31821989443635684,0.11708992864421006,-70,01-02-0008
4,0.024667931688804556,0.029885057471264367,0.027027027027027025,0.5,0.13123867522971192,0.2972979537312527,0.18209407065526645,-70,01-02-0007
4,0.0049504950495049506,0.00477326968973747,0.004860267314702309,0.5,0.09152373396614548,0.17867079672701855,0.12104329739918475,-70,01-02-0005
4,0.008571428571428572,0.008902077151335312,0.008733624454148473,0.5,0.10581813873488881,0.2106114815417141,0.1408623816788081,-70,01-02-0006
5,0.0019280205655526992,0.004219409282700422,0.0026466696074106746,0.6,0.07174420864641665,0.31821989443635684,0.11708992864421006,-70,01-02-0008
5,0.007590132827324478,0.009195402298850575,0.008316008316008316,0.6,0.13123867522971192,0.2972979537312527,0.18209407065526645,-70,01-02-0007
5,0.0,0.0,0.0,0.6,0.09152373396614548,0.17867079672701855,0.12104329739918475,-70,01-02-0005
5,0.0014285714285714286,0.001483679525222552,0.0014556040756914122,0.6,0.10581813873488881,0.2106114815417141,0.1408623816788081,-70,01-02-0006
6,0.0,0.0,0.0,0.7,0.07799281629566615,0.2684228076025342,0.12086666581218333,-80,01-02-0008
6,0.0,0.0,0.0,0.7,0.1398908912943344,0.23604347562086345,0.1756707292273904,-80,01-02-0007
6,0.0,0.0,0.0,0.7,0.08639677218150632,0.1215032688696701,0.10098593715291425,-80,01-02-0005
6,0.0,0.0,0.0,0.7,0.11972221260087977,0.16863717677671167,0.1400309244242183,-80,01-02-0006
7,0.0,0.0,0.0,0.8,0.08578459911694639,0.22169178344000845,0.12370212379742238,-90,01-02-0008
7,0.0,0.0,0.0,0.8,0.14353566646794952,0.17835934179367297,0.15906383347412653,-90,01-02-0007
7,0.0,0.0,0.0,0.8,0.07602363006722347,0.07672592206795412,0.07637316161423231,-90,01-02-0005
7,0.0,0.0,0.0,0.8,0.13791587657300466,0.13011058708733128,0.13389958158995816,-90,01-02-0006
8,0.0,0.0,0.0,0.9,0.02858863578620753,0.5509072129734301,0.05435650901521708,-20,01-02-0008
8,0.0,0.0,0.0,0.9,0.028023003239075375,0.5511688627117615,0.0533343361087886,-20,01-02-0007
8,0.0,0.0,0.0,0.9,0.02825784140856224,0.5438521950082921,0.053724242184226216,-20,01-02-0005
8,0.0,0.0,0.0,0.9,0.03534714356343698,0.5493738819320214,0.066420725877608,-20,01-02-0006
0,0.3322454308093995,0.569351230425056,0.41962077493816985,0.1,0.12624320702746966,0.38780993979864276,0.19047980085168756,-60,01-02-0009
0,0.44552845528455287,0.5518630412890232,0.49302744039586144,0.1,0.16743864243707526,0.38156056886480993,0.23274344422732163,-60,01-02-0010
0,0.22748414376321352,0.6285046728971962,0.334057746041602,0.1,0.08339910803479653,0.4265104641703848,0.13951725646367732,-60,01-02-0012
0,0.26832151300236406,0.5101123595505618,0.3516653756777692,0.1,0.10164508978873832,0.35471981594948,0.15801183258693396,-60,01-02-0011
1,0.2904699738903394,0.49776286353467564,0.36685902720527613,0.2,0.12624320702746966,0.38780993979864276,0.19047980085168756,-60,01-02-0009
1,0.36341463414634145,0.4501510574018127,0.4021592442645074,0.2,0.16743864243707526,0.38156056886480993,0.23274344422732163,-60,01-02-0010
1,0.1970401691331924,0.544392523364486,0.2893511331884508,0.2,0.08339910803479653,0.4265104641703848,0.13951725646367732,-60,01-02-0012
1,0.23167848699763594,0.4404494382022472,0.3036405886909373,0.2,0.10164508978873832,0.35471981594948,0.15801183258693396,-60,01-02-0011
2,0.1882640586797066,0.25838926174496646,0.21782178217821782,0.3,0.1315962409698985,0.3239953576921098,0.18717013785677955,-70,01-02-0009
2,0.26572668112798264,0.24672708962739173,0.2558746736292428,0.3,0.18471795602971852,0.315304114111572,0.232959043067812,-70,01-02-0010
2,0.11534446764091857,0.25817757009345793,0.15945165945165943,0.3,0.08964567198550435,0.3713609584144748,0.14442700156985872,-70,01-02-0012
2,0.15878378378378377,0.21123595505617979,0.18129218900675026,0.3,0.11393831411167024,0.2777308261145151,0.16158629237960928,-70,01-02-0011
3,0.05786471067644662,0.07941834451901567,0.06694955209806694,0.4,0.1315962409698985,0.3239953576921098,0.18717013785677955,-70,01-02-0009
3,0.09219088937093275,0.08559919436052367,0.08877284595300261,0.4,0.18471795602971852,0.315304114111572,0.232959043067812,-70,01-02-0010
