,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record,evaluation,gold_standard
1,0.12180746561886051,0.15158924205378974,0.13507625272331156,0.2,0.051764811611134824,0.12627252175104473,0.0734281195597181,-85,01-02-0001,record,E1
2,0.06286836935166994,0.07823960880195599,0.06971677559912853,0.3,0.051764811611134824,0.12627252175104473,0.0734281195597181,-85,01-02-0001,record,E1
3,0.025540275049115914,0.03178484107579462,0.02832244008714597,0.4,0.051764811611134824,0.12627252175104473,0.0734281195597181,-85,01-02-0001,record,E1
4,0.007858546168958742,0.009779951100244499,0.008714596949891067,0.5,0.051764811611134824,0.12627252175104473,0.0734281195597181,-85,01-02-0001,record,E1
5,0.0,0.0,,0.6,0.051764811611134824,0.12627252175104473,0.0734281195597181,-85,01-02-0001,record,E1
6,0.0,0.0,,0.7,0.051764811611134824,0.12627252175104473,0.0734281195597181,-85,01-02-0001,record,E1
7,0.0,0.0,,0.8,0.051764811611134824,0.12627252175104473,0.0734281195597181,-85,01-02-0001,record,E1
8,0.0,0.0,,0.9,0.051764811611134824,0.12627252175104473,0.0734281195597181,-85,01-02-0001,record,E1
0,0.16282894736842105,0.24205378973105135,0.19469026548672563,0.1,0.05635767561575892,0.16440364458450366,0.08394049522023975,-80,01-02-0001,record,E1
1,0.13322368421052633,0.1980440097799511,0.15929203539823011,0.2,0.05635767561575892,0.16440364458450366,0.08394049522023975,-80,01-02-0001,record,E1
2,0.07072368421052631,0.10513447432762836,0.08456243854473942,0.3,0.05635767561575892,0.16440364458450366,0.08394049522023975,-80,01-02-0001,record,E1
3,0.027960526315789474,0.04156479217603912,0.03343166175024582,0.4,0.05635767561575892,0.16440364458450366,0.08394049522023975,-80,01-02-0001,record,E1
4,0.006578947368421052,0.009779951100244499,0.007866273352999015,0.5,0.05635767561575892,0.16440364458450366,0.08394049522023975,-80,01-02-0001,record,E1
5,0.0,0.0,,0.6,0.05635767561575892,0.16440364458450366,0.08394049522023975,-80,01-02-0001,record,E1
6,0.0,0.0,,0.7,0.05635767561575892,0.16440364458450366,0.08394049522023975,-80,01-02-0001,record,E1
7,0.0,0.0,,0.8,0.05635767561575892,0.16440364458450366,0.08394049522023975,-80,01-02-0001,record,E1
8,0.0,0.0,,0.9,0.05635767561575892,0.16440364458450366,0.08394049522023975,-80,01-02-0001,record,E1
0,0.17256011315417255,0.2982885085574572,0.21863799283154117,0.1,0.05832599901491356,0.1979447831746249,0.09010256362281284,-75,01-02-0001,record,E1
