,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,threshold,record,evaluation,gold_standard
2,0.054816606207174524,0.22553897180762852,0.08819714656290532,0.3,0.06596798649216885,0.9990649376214966,0.12376387774990619,25,01-02-0017,record,union
3,0.03385731559854897,0.13930348258706468,0.05447470817120623,0.4,0.06596798649216885,0.9990649376214966,0.12376387774990619,25,01-02-0017,record,union
4,0.017936316001612253,0.07379767827529021,0.02885862516212711,0.5,0.06596798649216885,0.9990649376214966,0.12376387774990619,25,01-02-0017,record,union
5,0.004635227730753728,0.019071310116086235,0.0074578469520103765,0.6,0.06596798649216885,0.9990649376214966,0.12376387774990619,25,01-02-0017,record,union
6,0.001007658202337767,0.0041459369817578775,0.0016212710765239947,0.7,0.06596798649216885,0.9990649376214966,0.12376387774990619,25,01-02-0017,record,union
7,0.00040306328093510683,0.001658374792703151,0.0006485084306095979,0.8,0.06596798649216885,0.9990649376214966,0.12376387774990619,25,01-02-0017,record,union
8,0.0,0.0,,0.9,0.06596798649216885,0.9990649376214966,0.12376387774990619,25,01-02-0017,record,union
0,0.2655379817331254,0.988391376451078,0.41861281826163305,0.1,0.1726108941889042,0.9792366938162849,0.2934883453373237,50,01-02-0017,record,union
1,0.25707284473156605,0.956882255389718,0.4052677787532924,0.2,0.1726108941889042,0.9792366938162849,0.2934883453373237,50,01-02-0017,record,union
2,0.23769213633325909,0.884742951907131,0.3747146619841967,0.3,0.1726108941889042,0.9792366938162849,0.2934883453373237,50,01-02-0017,record,union
3,0.2131877923813767,0.7935323383084577,0.3360842844600527,0.4,0.1726108941889042,0.9792366938162849,0.2934883453373237,50,01-02-0017,record,union
4,0.1797727779015371,0.6691542288557214,0.28340649692712905,0.5,0.1726108941889042,0.9792366938162849,0.2934883453373237,50,01-02-0017,record,union
5,0.1443528625529071,0.5373134328358209,0.22756804214223003,0.6,0.1726108941889042,0.9792366938162849,0.2934883453373237,50,01-02-0017,record,union
6,0.1015816440187124,0.3781094527363184,0.1601404741000878,0.7,0.1726108941889042,0.9792366938162849,0.2934883453373237,50,01-02-0017,record,union
7,0.04967698819336155,0.18490878938640132,0.07831431079894645,0.8,0.1726108941889042,0.9792366938162849,0.2934883453373237,50,01-02-0017,record,union
8,0.010470037870349743,0.03897180762852405,0.016505706760316066,0.9,0.1726108941889042,0.9792366938162849,0.2934883453373237,50,01-02-0017,record,union
0,0.41745454545454547,0.9519071310116086,0.5803842264914055,0.1,0.3173350220813761,0.8890253205049337,0.4677190715810542,75,01-02-0017,record,union
1,0.4152727272727273,0.9469320066334992,0.577350859453994,0.2,0.3173350220813761,0.8890253205049337,0.4677190715810542,75,01-02-0017,record,union
2,0.40654545454545454,0.9270315091210614,0.5652173913043479,0.3,0.3173350220813761,0.8890253205049337,0.4677190715810542,75,01-02-0017,record,union
3,0.39381818181818184,0.8980099502487562,0.5475227502527806,0.4,0.3173350220813761,0.8890253205049337,0.4677190715810542,75,01-02-0017,record,union
4,0.36763636363636365,0.8383084577114428,0.5111223458038423,0.5,0.3173350220813761,0.8890253205049337,0.4677190715810542,75,01-02-0017,record,union
5,0.3341818181818182,0.7620232172470979,0.4646107178968655,0.6,0.3173350220813761,0.8890253205049337,0.4677190715810542,75,01-02-0017,record,union
6,0.2869090909090909,0.654228855721393,0.39888776541961574,0.7,0.3173350220813761,0.8890253205049337,0.4677190715810542,75,01-02-0017,record,union
7,0.18581818181818183,0.42371475953565507,0.25834175935288173,0.8,0.3173350220813761,0.8890253205049337,0.4677190715810542,75,01-02-0017,record,union
8,0.06327272727272727,0.14427860696517414,0.08796764408493428,0.9,0.3173350220813761,0.8890253205049337,0.4677190715810542,75,01-02-0017,record,union
0,0.5472813238770685,0.7678275290215588,0.6390614216701174,0.1,0.4395658419792498,0.6776446270823593,0.5332378084791217,100,01-02-0017,record,union
1,0.5460992907801419,0.7661691542288557,0.6376811594202898,0.2,0.4395658419792498,0.6776446270823593,0.5332378084791217,100,01-02-0017,record,union
2,0.543144208037825,0.7620232172470979,0.6342305037957212,0.3,0.4395658419792498,0.6776446270823593,0.5332378084791217,100,01-02-0017,record,union
3,0.5348699763593381,0.7504145936981758,0.6245686680469289,0.4,0.4395658419792498,0.6776446270823593,0.5332378084791217,100,01-02-0017,record,union
